time;usage_type;value
2006;Stammholz;7089
2007;Stammholz;6064
2008;Stammholz;5192
2009;Stammholz;4489
2010;Stammholz;5577
2011;Stammholz;6512
2012;Stammholz;6264
2013;Stammholz;6484
2014;Stammholz;6420
2015;Stammholz;6248
2016;Stammholz;6111
2017;Stammholz;6345
2018;Stammholz;6297
2019;Stammholz;4230
2020;Stammholz;3765
2021;Stammholz;5241
2022;Stammholz;7243
2023;Stammholz;5474
2024;Stammholz;6010
2006;Industrieholz;3944
2007;Industrieholz;5422
2008;Industrieholz;4201
2009;Industrieholz;3792
2010;Industrieholz;4575
2011;Industrieholz;4777
2012;Industrieholz;4958
2013;Industrieholz;4848
2014;Industrieholz;4644
2015;Industrieholz;4398
2016;Industrieholz;4633
2017;Industrieholz;3944
2018;Industrieholz;4231
2019;Industrieholz;3572
2020;Industrieholz;2754
2021;Industrieholz;3142
2022;Industrieholz;4076
2023;Industrieholz;4235
2024;Industrieholz;4104
2006;Energieholz;857
2007;Energieholz;1241
2008;Energieholz;1393
2009;Energieholz;1443
2010;Energieholz;1383
2011;Energieholz;1822
2012;Energieholz;1525
2013;Energieholz;1751
2014;Energieholz;1814
2015;Energieholz;1534
2016;Energieholz;1431
2017;Energieholz;1333
2018;Energieholz;1164
2019;Energieholz;1219
2020;Energieholz;1235
2021;Energieholz;1335
2022;Energieholz;1668
2023;Energieholz;1431
2024;Energieholz;1572
2006;nicht verwertet;388
2007;nicht verwertet;508
2008;nicht verwertet;391
2009;nicht verwertet;385
2010;nicht verwertet;460
2011;nicht verwertet;500
2012;nicht verwertet;507
2013;nicht verwertet;450
2014;nicht verwertet;416
2015;nicht verwertet;384
2016;nicht verwertet;399
2017;nicht verwertet;395
2018;nicht verwertet;408
2019;nicht verwertet;300
2020;nicht verwertet;290
2021;nicht verwertet;340
2022;nicht verwertet;391
2023;nicht verwertet;356
2024;nicht verwertet;356
