statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;12574,2;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;13254,3;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;10995,9;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;1818,5;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;55612,7;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;1724,7;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;28877,9;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;56141,6;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;1362,2;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;1687,7;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;25359,2;1000 cbm;HES001;Holzeinschlag;e
